gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,57-CD4-B_S45_L002,58-CD4-B_S49_L002,60-CD4-B_S53_L002,SRR6927754,SRR6927756
ENSMUSG00000068220,Lgals1,16852,"lectin, galactose binding, soluble 1",4670.35379400677,3.291128815424408,0.31768355751529187,10.359770713868274,3.778667428471351e-25,5.674705230080121e-23,12760,7162,8015,443,633
ENSMUSG00000059070,Rpl18,19899,ribosomal protein L18,3603.2838023580675,-4.804676610201859,0.4647171507617253,-10.338926812420064,4.697687135572656e-25,6.942883320526507e-23,699,247,251,2776,12846
ENSMUSG00000043099,Hic1,15248,hypermethylated in cancer 1,476.43200371531526,5.061854920131626,0.4936289531286282,10.254372009683607,1.1310882239189316e-24,1.6455566332670582e-22,1363,651,976,17,16
ENSMUSG00000020644,Id2,15902,inhibitor of DNA binding 2,2942.119109414904,2.9807760474363554,0.2931819810142883,10.16698242205781,2.7840005608540425e-24,3.9879737264787675e-22,8426,4236,4754,286,618
ENSMUSG00000040270,Bach2,12014,"BTB and CNC homology, basic leucine zipper transcription factor 2",3007.918976073784,-2.4277183738393147,0.23895151729252678,-10.159878461316811,2.9944950093509183e-24,4.22450652001006e-22,1382,1487,1222,3044,6064
ENSMUSG00000035674,Ndufa3,66091,NADH:ubiquinone oxidoreductase subunit A3,378.8303275140998,-3.0828038261315966,0.3052777500376875,-10.098357399944854,5.617520558020178e-24,7.806676703839683e-22,140,112,108,322,1060
ENSMUSG00000067274,Rplp0,11837,"ribosomal protein, large, P0",21852.988074601697,-3.0260527297837156,0.30095596107697564,-10.054802433402344,8.749675915652267e-24,1.198062241921151e-21,8015,5008,8504,16849,64756
ENSMUSG00000118866,Rn7s1,103948,7S RNA 1,5978.869594550708,5.428506135915642,0.54220176628136,10.011966897759375,1.3504061406137662e-23,1.8222654456890982e-21,10512,14435,11459,177,96
ENSMUSG00000028936,Rpl22,19934,ribosomal protein L22,3256.807346209812,-2.909498896416148,0.2917336235114043,-9.973135291696712,1.998194566251711e-23,2.657884229481383e-21,978,1177,1210,3799,6301
ENSMUSG00000032562,Gnai2,14678,"guanine nucleotide binding protein (G protein), alpha inhibiting 2",2611.620698447717,2.212234268955955,0.22191379593644792,9.968890215322613,2.0854597726686853e-23,2.7348895694814265e-21,5641,3922,4880,438,821
ENSMUSG00000036565,Ttyh3,78339,tweety family member 3,5640.399559758122,-1.8805192350138622,0.1900873936738079,-9.892919244507368,4.4680496672632734e-23,5.778057007206714e-21,3429,3468,3307,4858,11134
ENSMUSG00000052837,Junb,16477,jun B proto-oncogene,19115.46432882727,3.1424823566359223,0.318436815121916,9.868464346475763,5.703100884642925e-23,7.274187991357572e-21,29859,39256,40913,1936,2977
ENSMUSG00000029468,P2rx7,18439,"purinergic receptor P2X, ligand-gated ion channel, 7",358.67302199458777,3.724660475153908,0.37957694422667293,9.812662575547906,9.931286430584025e-23,1.2495974047995656e-20,873,638,645,27,37
ENSMUSG00000039087,Rreb1,68750,ras responsive element binding protein 1,1594.8437472351598,-2.1327409579111407,0.2186592162431922,-9.753720856380971,1.7782826475696589e-22,2.207678630869479e-20,1000,850,710,1364,3488
ENSMUSG00000081087,Rps15a-ps7,100043843,"ribosomal protein S15A, pseudogene 7",487.9026223545081,-5.79085011790805,0.593999980263541,-9.748906246324813,1.8646637245246546e-22,2.284458413032771e-20,17,18,45,800,772
ENSMUSG00000017801,Mlx,21428,MAX-like protein X,585.8513021463506,3.431461652640545,0.35224725407747004,9.741627827951387,2.003193719843682e-22,2.4223034708395485e-20,927,1166,1328,38,102
ENSMUSG00000099974,Bcl2a1d,12047,B cell leukemia/lymphoma 2 related protein A1d,306.68155850752464,3.9011744044828034,0.4021476950257385,9.70084984381949,2.9899767570598746e-22,3.569188921151858e-20,628,479,739,18,33
ENSMUSG00000035202,Lars2,102436,"leucyl-tRNA synthetase, mitochondrial",56995.963482296116,4.820939829351841,0.4986070168389749,9.66881665628216,4.090806838098487e-22,4.8214560088019e-20,69675,132385,138934,2286,1958
ENSMUSG00000024190,Dusp1,19252,dual specificity phosphatase 1,3407.3922564938057,3.706646762493783,0.3935801928428232,9.417767534795729,4.607804975142778e-21,5.362909015444301e-19,4436,8904,6462,216,424
ENSMUSG00000032238,Rora,19883,RAR-related orphan receptor alpha,294.4979504997734,3.626016174069551,0.3875996860666488,9.3550544657718,8.355665495269026e-21,9.604889064993816e-19,691,610,456,19,41
ENSMUSG00000009585,Apobec3,80287,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3",3190.3655352998644,1.619238222767761,0.17367376516754032,9.323447448759504,1.1262025636451176e-20,1.2787892768414256e-18,6338,4836,5368,709,1537
ENSMUSG00000026358,Rgs1,50778,regulator of G-protein signaling 1,1387.108263986346,4.401378052866764,0.4732091047349851,9.301127152512631,1.3896458774217256e-20,1.5589147909245406e-18,1954,2624,3732,72,72
ENSMUSG00000069833,Ahnak,66395,AHNAK nucleoprotein (desmoyokin),10386.698666350423,4.125128143463228,0.4443166861975042,9.284207124351747,1.6291558808890444e-20,1.8058417151140348e-18,30660,14450,19157,665,575
ENSMUSG00000029614,Rpl6,19988,ribosomal protein L6,1694.6496148787353,-4.6165816807343125,0.49741483779144113,-9.281149917506037,1.6765920555839433e-20,1.8365586622990703e-18,232,246,133,933,6886
ENSMUSG00000075010,AW112010,107350,expressed sequence AW112010,2572.338406874787,2.1725088319014705,0.234252543279258,9.274216627443703,1.7892900817242705e-20,1.9372185989458933e-18,4262,4767,4922,379,975
ENSMUSG00000070003,Ssbp4,76900,single stranded DNA binding protein 4,1620.518434341848,1.8005388719023003,0.1946932003142283,9.248082978739324,2.2855487986892627e-20,2.446062628114451e-18,3301,2515,2766,330,692
ENSMUSG00000039232,Stx11,74732,syntaxin 11,540.1825522994185,3.602847533882709,0.38965236322288804,9.246312544040228,2.32370977513515e-20,2.458643376850384e-18,1193,940,1088,47,52
ENSMUSG00000028381,Ugcg,22234,UDP-glucose ceramide glucosyltransferase,5342.247947297869,-1.8493720622031338,0.20064680923909403,-9.217051939258061,3.053806309161479e-20,3.194830398269947e-18,3186,3290,3329,4205,11375
ENSMUSG00000009090,Ap1b1,11764,"adaptor protein complex AP-1, beta 1 subunit",732.0518212784624,-4.803902083353682,0.5217608121813594,-9.207096376728057,3.3506581334581537e-20,3.466441986736541e-18,42,122,62,681,2323
ENSMUSG00000020914,Top2a,21973,topoisomerase (DNA) II alpha,1560.9299477580541,3.700081325020939,0.40342098118344627,9.171762247383988,4.653484326825183e-20,4.761383798579042e-18,5083,2222,2290,112,167
ENSMUSG00000040584,Abcb1a,18671,"ATP-binding cassette, sub-family B (MDR/TAP), member 1A",804.5100060543252,3.0259457048837133,0.3300303896897298,9.168688094840247,4.7881045496257487e-20,4.845874071909277e-18,1525,1397,1730,92,130
ENSMUSG00000000791,Il12rb1,16161,"interleukin 12 receptor, beta 1",859.1317999442055,3.9501248626227015,0.43136316945473363,9.157306748315747,5.3208656453767495e-20,5.327159142376658e-18,2118,1274,1836,62,58
ENSMUSG00000015619,Gata3,14462,GATA binding protein 3,3240.0299862134425,1.581125574814291,0.1728725110881268,9.14619429579678,5.897456994760102e-20,5.8416193700224804e-18,6574,4713,5473,683,1719
ENSMUSG00000022708,Zbtb20,56490,zinc finger and BTB domain containing 20,1521.084581256599,-1.7158130877209419,0.1903402048495337,-9.014454350710158,1.9785292867916792e-19,1.9391669672965605e-17,1081,959,956,1160,3158
ENSMUSG00000027634,Ndrg3,29812,N-myc downstream regulated gene 3,701.0639843214378,-4.173834710752458,0.46362292363341734,-9.002649562800034,2.2033474242590886e-19,2.137017486174622e-17,188,67,94,522,2440
ENSMUSG00000090877,Hspa1b,15511,heat shock protein 1B,12921.73465522643,7.794840223680153,0.8666588810813503,8.994127209490257,2.381165886419869e-19,2.285673769943856e-17,40533,22533,19512,80,29
ENSMUSG00000006651,Aplp1,11803,amyloid beta (A4) precursor-like protein 1,334.73417471421476,3.558484969883089,0.3964446214263554,8.975995076134796,2.8080195341127246e-19,2.66790509001261e-17,592,622,764,16,61
ENSMUSG00000026864,Hspa5,14828,heat shock protein 5,9721.285219313973,1.4739335959521975,0.16455269138511838,8.95721354385271,3.329864090063085e-19,3.131753994199736e-17,17510,16101,15560,2229,5354
ENSMUSG00000073102,Drc1,381738,dynein regulatory complex subunit 1,437.25110959775446,3.862943289081811,0.4314837801791904,8.952696408373852,3.4690292568399755e-19,3.1980328129145557e-17,626,1006,939,25,50
ENSMUSG00000090733,Rps27,57294,ribosomal protein S27,5181.360156004934,-2.5755791490808524,0.2876825497271285,-8.95285150776031,3.4641570082327414e-19,3.1980328129145557e-17,2809,1419,2422,5440,10471
ENSMUSG00000060860,Ube2s,77891,ubiquitin-conjugating enzyme E2S,1936.4819078603175,1.9422944582422481,0.21710078206672329,8.946510647047358,3.6689657842334904e-19,3.349190236960591e-17,4446,3001,3028,343,806
ENSMUSG00000028362,Tnfsf8,21949,"tumor necrosis factor (ligand) superfamily, member 8",2574.6774042783486,1.81048252346564,0.2043674170318209,8.858958780027738,8.076522465308321e-19,7.301019482959784e-17,5222,4469,3928,454,1248
ENSMUSG00000027203,Dut,110074,deoxyuridine triphosphatase,239.99055582990414,3.1943303386690665,0.36153156971408357,8.835550215421838,9.960677852561594e-19,8.917679950500097e-17,548,449,413,19,47
ENSMUSG00000037759,Ptger2,19217,prostaglandin E receptor 2 (subtype EP2),312.46532215119015,3.38509687317204,0.3873340264591775,8.73947714874672,2.341917477019327e-18,2.0767232027168526e-16,583,703,538,24,50
ENSMUSG00000056501,Cebpb,12608,"CCAAT/enhancer binding protein (C/EBP), beta",698.256888259306,3.133192560737116,0.3588809919534798,8.730450012641679,2.5366129700390423e-18,2.2281512607578794e-16,1336,1261,1459,78,98
ENSMUSG00000060036,Rpl3,27367,ribosomal protein L3,3349.2718474481103,-1.8312586907336037,0.20983109203349667,-8.727299052712684,2.608267277450663e-18,2.269680057975993e-16,2262,1996,1978,3135,5866
ENSMUSG00000020889,Nr1d1,217166,"nuclear receptor subfamily 1, group D, member 1",423.2844299322467,3.754908420037472,0.43532052458605597,8.625617695393515,6.374763867999321e-18,5.445451961003823e-16,1343,598,664,20,64
ENSMUSG00000040415,Dtx3,80904,"deltex 3, E3 ubiquitin ligase",845.3159138982901,2.9644065319422332,0.3446542100211927,8.601103499533497,7.895324237544403e-18,6.683033088706903e-16,2224,1081,1678,93,158
ENSMUSG00000031246,Sh3bgrl,56726,SH3-binding domain glutamic acid-rich protein like,1194.8756969012788,2.6005370282521896,0.3024296635993949,8.598815993450032,8.05427024763291e-18,6.756154078892795e-16,2053,1804,2884,141,335
ENSMUSG00000061684,Rpl21-ps8,637748,"ribosomal protein L21, pseudogene 8",2919.969616700742,-8.768037402335693,1.02205019048399,-8.578871648351834,9.580831029773262e-18,7.964921224840967e-16,12,29,20,973,14324
ENSMUSG00000076472,Trbv15,100124679,"T cell receptor beta, variable 15",558.7081448872227,-3.4206640786255482,0.40068635960806853,-8.5370115468155,1.377377951608161e-17,1.1349350537542998e-15,106,115,206,597,1354
ENSMUSG00000026466,Tor1aip1,208263,torsin A interacting protein 1,1133.1318986911033,-2.500353695959845,0.295441042512203,-8.463122370198683,2.603123168916209e-17,2.1076243326764194e-15,702,423,391,929,2871
ENSMUSG00000025132,Arhgdia,192662,Rho GDP dissociation inhibitor (GDI) alpha,893.7712998113822,-3.654849605897242,0.4320034341139598,-8.460232760402352,2.668443782101383e-17,2.1418862116505152e-15,173,115,310,1009,2119
ENSMUSG00000030447,Cyfip1,20430,cytoplasmic FMR1 interacting protein 1,595.4472686398611,3.372910161293952,0.3989244495467867,8.455009877499048,2.790637267641471e-17,2.220822529829892e-15,1024,1005,1459,56,74
ENSMUSG00000041773,Enc1,13803,ectodermal-neural cortex 1,1308.2820778657588,-1.6851947862520102,0.19966533037034193,-8.440097152201078,3.170740097273972e-17,2.5019289021794876e-15,922,770,923,1100,2434
ENSMUSG00000037772,Mrpl23,19935,mitochondrial ribosomal protein L23,251.14525923098566,-4.298758776161451,0.5104827893177151,-8.420967104311098,3.7338910928995665e-17,2.92153445092335e-15,42,24,47,172,919
ENSMUSG00000026987,Baz2b,407823,"bromodomain adjacent to zinc finger domain, 2B",494.09411093293164,-2.92327279652961,0.3496375612946212,-8.360865994218287,6.225953407790063e-17,4.83082101499444e-15,185,156,173,349,1514
ENSMUSG00000043467,Zbtb37,240869,zinc finger and BTB domain containing 37,1228.2015143275999,-1.608424945620361,0.1924415208255855,-8.357993320361027,6.379405753613996e-17,4.9089790885867696e-15,1003,718,840,969,2358
ENSMUSG00000003435,Supt5,20924,"suppressor of Ty 5, DSIF elongation factor subunit",3718.9359378756576,-2.644108792463551,0.3164718291946241,-8.3549578463032,6.545608295346786e-17,4.995586789997863e-15,1192,1857,1384,3336,9063
ENSMUSG00000017421,Zfp207,22680,zinc finger protein 207,1747.8166332511282,-2.1856692019800064,0.26173700012204115,-8.350631362630754,6.789902959872626e-17,5.1399013381604895e-15,1272,738,758,1468,3958
ENSMUSG00000086894,Gm15708,100504231,predicted gene 15708,546.4526724615689,-2.021443865589599,0.24240365684451673,-8.33916406998018,7.481754356222428e-17,5.617952807321535e-15,344,306,276,484,1108
ENSMUSG00000023367,Tmem176a,66058,transmembrane protein 176A,964.8941535391849,4.8418031095263485,0.5808721803272672,8.335401958479824,7.723535262399028e-17,5.753106946255788e-15,4072,857,1316,28,58
ENSMUSG00000034958,Atcay,16467,"ataxia, cerebellar, Cayman type",301.77502355883416,3.4395400374493383,0.41320834844608206,8.323984862319767,8.505447375982203e-17,6.285255596648435e-15,872,460,492,18,55
ENSMUSG00000025290,Rps24,20088,ribosomal protein S24,29697.25979400104,-2.0427514700690517,0.24572211750292666,-8.313258451570691,9.310943194745749e-17,6.826314337502179e-15,14377,17128,17725,27729,57214
ENSMUSG00000078899,Gm14430,627914,predicted gene 14430,793.8795210338511,-1.7543744818730747,0.21257140165354116,-8.25310680658933,1.543290105124568e-16,1.1226229819386604e-14,616,445,484,661,1540
ENSMUSG00000027510,Rbm38,56190,RNA binding motif protein 38,3617.7942604867444,-1.8808400037426447,0.22823712346216565,-8.240727780003008,1.7116626714188879e-16,1.235448925083819e-14,2125,2354,2047,2799,7915
ENSMUSG00000047507,Baiap3,545192,BAI1-associated protein 3,732.7015386501213,4.630491708609053,0.5641731043723751,8.207572592033308,2.2570500408252187e-16,1.6165686869325856e-14,2171,1005,1403,38,22
ENSMUSG00000109511,Nup62,18226,nucleoporin 62,464.23405516403295,-3.176540208864371,0.39048548027499536,-8.13484846255314,4.1245394422513507e-16,2.909362632333509e-14,145,175,91,506,1049
ENSMUSG00000022312,Eif3h,68135,"eukaryotic translation initiation factor 3, subunit H",620.4447132182846,-5.353267390182933,0.6590283081879447,-8.122970324146173,4.549105805875046e-16,3.184716102143049e-14,75,44,22,264,2790
ENSMUSG00000032737,Inppl1,16332,inositol polyphosphate phosphatase-like 1,766.4148844819573,3.7486505270628703,0.4638776238050442,8.081119533884504,6.41748671786151e-16,4.459195435075262e-14,2323,1089,1282,62,61
ENSMUSG00000037795,N4bp2,333789,NEDD4 binding protein 2,1433.7367860593054,-1.863027932299934,0.23154116690245302,-8.046206025578238,8.540017912677023e-16,5.890081984069316e-14,1015,673,963,1117,3097
ENSMUSG00000025348,Itga7,16404,integrin alpha 7,392.0932798660532,2.347075354440622,0.2918609507532476,8.041758749785426,8.855811259774952e-16,6.06297489998269e-14,899,658,636,56,125
ENSMUSG00000021253,Tgfb3,21809,"transforming growth factor, beta 3",237.05419915562334,4.149523232273241,0.5168003529250511,8.029257737126633,9.806415016798172e-16,6.664783227839983e-14,769,351,354,11,23
