gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,61-CD8_S58_L002,62-CD8_S60_L002,63-CD8_S62_L002,57-CD8-D_S48_L002,58-CD8-D_S52_L002,60-CD8-D_S56_L002
ENSMUSG00000052837,Junb,16477,jun B proto-oncogene,31352.584031985403,0.9948705685504514,0.14202254735739925,7.005018478135469,2.469532393587593e-12,2.045446330725142e-9,19828,25241,25676,30091,38551,45922
ENSMUSG00000026826,Nr4a2,18227,"nuclear receptor subfamily 4, group A, member 2",614.4960344880391,2.4691694048032846,0.3557164014416482,6.9413988075788176,3.882362835203969e-12,2.9476839826286136e-9,158,153,336,684,1304,844
ENSMUSG00000076757,Trgc4,107576,"T cell receptor gamma, constant 4",262.33431243152324,2.914205105419909,0.4263902188981766,6.8345965180684205,8.22361536343203e-12,5.763489198171479e-9,45,70,94,334,590,330
ENSMUSG00000031785,Adgrg1,14766,adhesion G protein-coupled receptor G1,280.63293768972335,3.924533718358436,0.6118942850607543,6.413744684621093,1.4198792757870772e-10,9.240371486925759e-8,37,26,56,362,905,137
ENSMUSG00000026581,Sell,20343,"selectin, lymphocyte",12105.927624228285,-0.8036825740767345,0.1262778672244285,-6.364397750307124,1.960574760529887e-10,1.1908531095458534e-7,16722,16811,18544,6233,8334,9629
ENSMUSG00000024966,Stip1,20867,stress-induced phosphoprotein 1,4883.954374498232,0.8061677189133539,0.1277550558819085,6.310260782622506,2.7856567657030175e-10,1.586257424520012e-7,4270,3555,4215,5779,5611,5452
ENSMUSG00000026475,Rgs16,19734,regulator of G-protein signaling 16,759.1498913846299,2.331922034351511,0.3735855176198071,6.242003301435996,4.3200183200626344e-10,2.3152757008288626e-7,362,163,336,808,1777,845
ENSMUSG00000028820,Sfpq,71514,splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated),9159.730715803365,0.7716506228987913,0.12649037626368906,6.10046902928144,1.0575767311024112e-9,5.353100887263372e-7,7520,7546,7791,8357,10616,12724
ENSMUSG00000027067,Ssrp1,20833,structure specific recognition protein 1,655.9657850782861,-1.9550511160689727,0.32721614362878476,-5.974800309018096,2.303721937802767e-9,1.104695293437948e-6,1683,787,1070,221,183,336
ENSMUSG00000054484,Tmem62,96957,transmembrane protein 62,168.41167993484035,3.3454230366979893,0.5631045543952627,5.941033526696927,2.832306754582415e-9,1.2902573420500192e-6,57,21,24,399,188,234
ENSMUSG00000038418,Egr1,13653,early growth response 1,5387.7536547938425,0.936918742528926,0.16055152110467044,5.835626695296822,5.3588757568101154e-9,2.3249865247760457e-6,3812,3361,5453,5474,6050,7885
ENSMUSG00000026011,Ctla4,12477,cytotoxic T-lymphocyte-associated protein 4,550.8467575174935,1.3967833394388622,0.2414709542273723,5.784477656569958,7.27379897686926e-9,3.0123446581025375e-6,364,264,405,660,782,730
ENSMUSG00000053560,Ier2,15936,immediate early response 2,7831.194895514198,0.6555682821751023,0.11450137298476712,5.725418526311619,1.031790542929911e-8,4.087236363754095e-6,6398,6854,7308,7620,8235,10373
ENSMUSG00000030103,Bhlhe40,20893,"basic helix-loop-helix family, member e40",379.03683966571145,2.2941201537616114,0.40248158062781575,5.699938243591422,1.1985083751042723e-8,4.549837418989594e-6,162,110,165,808,309,579
ENSMUSG00000024334,H2-Oa,15001,"histocompatibility 2, O region alpha locus",784.6183846380031,-1.0527627072073242,0.18646688442428197,-5.645842748205601,1.643740402234073e-8,5.990447521901855e-6,1270,1063,1254,434,454,503
ENSMUSG00000055170,Ifng,15978,interferon gamma,841.8149532400853,1.8766489855984458,0.3346738331341815,5.607396813858576,2.053923892824921e-8,7.197423302895328e-6,290,343,601,1305,1462,779
ENSMUSG00000028656,Cap1,12331,"CAP, adenylate cyclase-associated protein 1 (yeast)",3144.9669446319094,1.1574402465655267,0.21627896865672752,5.351607942992304,8.717611121566913e-8,2.9417094417998573e-5,1890,1975,2761,4782,3788,3088
ENSMUSG00000033450,Tagap,72536,T cell activation Rho GTPase activating protein,3743.5791032215434,0.9260907523024788,0.17407616233037299,5.320031990048609,1.0374900762220453e-7,3.37591860159252e-5,2631,2518,3644,3624,3963,5917
ENSMUSG00000037266,Rsrp1,27981,arginine/serine rich protein 1,9031.500333022315,0.6710040437508872,0.12691492009176422,5.287038303027936,1.2431261720855282e-7,3.905559501334913e-5,7294,7570,8736,10793,9393,9868
ENSMUSG00000024027,Glp1r,14652,glucagon-like peptide 1 receptor,255.49553735596598,3.4279568691751527,0.6620412568042185,5.177859890065554,2.2444568620887348e-7,6.816415490163487e-5,77,32,38,344,800,99
ENSMUSG00000045193,Cirbp,12696,cold inducible RNA binding protein,1684.7099886473104,-1.1462333329913235,0.22312397577903473,-5.137203785425853,2.7885651702876224e-7,8.195682989190492e-5,2543,2893,2360,654,1138,1084
ENSMUSG00000037072,Selenof,93684,selenoprotein F,1170.3724264029975,1.3346253653738422,0.26090143216766276,5.115439015743592,3.130120686467446e-7,8.641978658910575e-5,600,970,651,1445,1730,1364
ENSMUSG00000045382,Cxcr4,12767,chemokine (C-X-C motif) receptor 4,3049.121899341548,1.2899504841154692,0.25189207419693754,5.121044352935628,3.038481633035359e-7,8.641978658910575e-5,1440,1663,2963,3061,3252,5651
ENSMUSG00000022584,Ly6c2,100041546,"lymphocyte antigen 6 complex, locus C2",1608.325583821376,-1.1466064997479979,0.22824428833215957,-5.023593396910608,5.071354507901978e-7,1.3589738506322038e-4,3311,1768,2447,749,994,991
ENSMUSG00000026864,Hspa5,14828,heat shock protein 5,14317.63445422062,0.5715034310816325,0.11402706734544253,5.011997978955955,5.386776998263649e-7,1.4022550066051457e-4,12270,11379,15518,13248,16226,17292
ENSMUSG00000031167,Rbm3,19652,"RNA binding motif (RNP1, RRM) protein 3",8654.369620350617,-0.6614136103903078,0.13239158985541447,-4.995888417932294,5.856551787193194e-7,1.4821956481421444e-4,13107,11800,10813,5215,6159,6959
ENSMUSG00000052684,Jun,16476,jun proto-oncogene,12506.245899458285,0.9540840648922453,0.1918338895331703,4.973490696633522,6.575793106412082e-7,1.6192446214194725e-4,7176,9653,12084,11093,14097,20330
ENSMUSG00000045817,Zfp36l2,12193,"zinc finger protein 36, C3H type-like 2",17230.716209831106,0.5849026331690909,0.1216668875162754,4.807410176337817,1.5289807930863635e-6,3.6659326331078574e-4,14151,14879,17695,15592,17946,23196
ENSMUSG00000026064,Ptp4a1,19243,protein tyrosine phosphatase 4a1,255.35695138544244,2.9237282195330994,0.6121160843595932,4.7764276976841025,1.7843666891785295e-6,4.083849015036868e-4,45,42,119,244,161,874
ENSMUSG00000043263,Ifi209,236312,interferon activated gene 209,1162.7912121552606,1.009271511676128,0.21134521238058745,4.775464276231847,1.7929311886892185e-6,4.083849015036868e-4,998,823,781,1536,1368,1295
ENSMUSG00000018143,Mafk,17135,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)",183.77394709314723,1.9681058766079829,0.41271837788375193,4.768641238366003,1.8547261906168686e-6,4.106851691879982e-4,56,88,110,278,259,256
ENSMUSG00000035569,Ankrd11,77087,ankyrin repeat domain 11,2679.4730756057897,0.6214126343462687,0.13042544407791354,4.764504646616723,1.8931815504221188e-6,4.106851691879982e-4,2172,2394,2572,2845,2866,3128
ENSMUSG00000003032,Klf4,16600,Kruppel-like factor 4 (gut),1026.7747449298736,1.5191647511398134,0.32002209945540555,4.747062011420577,2.0639268892775772e-6,4.3160040308548846e-4,404,501,917,950,1191,2084
ENSMUSG00000012296,Tjap1,74094,tight junction associated protein 1,284.13867983334234,2.198445637689747,0.4654800707775154,4.722964044448927,2.3243195490525173e-6,4.3160040308548846e-4,72,185,79,424,488,347
ENSMUSG00000014039,Prdm15,114604,PR domain containing 15,750.8910578493796,1.0050808443623538,0.21243258391402609,4.731293221802177,2.230939936144889e-6,4.3160040308548846e-4,539,456,708,843,859,1035
ENSMUSG00000024900,Cpt1a,12894,"carnitine palmitoyltransferase 1a, liver",2369.8949226881723,-0.7224055726985515,0.15255529215228317,-4.735368812885459,2.1865710462097124e-6,4.3160040308548846e-4,3248,3405,3300,1403,1814,1654
ENSMUSG00000027433,Xrn2,24128,5'-3' exoribonuclease 2,8392.625307840506,-0.4363504366983843,0.09199456135105447,-4.743219928330935,2.103476890220459e-6,4.3160040308548846e-4,10776,10455,11414,5868,6432,7163
ENSMUSG00000030124,Lag3,16768,lymphocyte-activation gene 3,1474.012706648493,1.6221378658417154,0.3437367188211392,4.719128847813848,2.3685676823921e-6,4.3160040308548846e-4,1058,487,925,2248,2595,1096
ENSMUSG00000032578,Cish,12700,cytokine inducible SH2-containing protein,604.5974083499665,1.35071812788859,0.2857562374071366,4.72681940434472,2.280639307156369e-6,4.3160040308548846e-4,429,301,428,981,688,666
ENSMUSG00000035697,Arhgap45,70719,Rho GTPase activating protein 45,17289.757024426443,0.7909353511829962,0.16716780415121432,4.731385658852963,2.229924106802495e-6,4.3160040308548846e-4,12957,17199,12242,20164,18349,21065
ENSMUSG00000021108,Prkch,18755,"protein kinase C, eta",378.6154829357019,1.9777460889480265,0.4234524937550984,4.670526489074937,3.0042873769846895e-6,5.367071037589707e-4,144,108,277,749,346,531
ENSMUSG00000031232,Magt1,67075,magnesium transporter 1,844.2737993984875,-0.9450810191496315,0.20261049186629573,-4.664521617040927,3.093358143828154e-6,5.419920393926599e-4,1292,995,1499,484,547,540
ENSMUSG00000041498,Kif14,381293,kinesin family member 14,138.61134252753365,-2.2149171481145418,0.47882370720835593,-4.6257466260974835,3.7325136772141636e-6,6.416402285490234e-4,303,187,287,27,56,52
ENSMUSG00000022884,Eif4a2,13682,eukaryotic translation initiation factor 4A2,6644.083639085907,0.5918729814674615,0.1291756297175778,4.5819244911869115,4.607162618165136e-6,7.695993077603988e-4,5161,5687,7143,6260,7338,8238
ENSMUSG00000027514,Zbp1,58203,Z-DNA binding protein 1,1271.0903521536407,-0.7694011198297798,0.16839964558502263,-4.568899875987683,4.902909163772996e-6,7.976858105559959e-4,1754,1892,1752,798,822,943
ENSMUSG00000001020,S100a4,20198,S100 calcium binding protein A4,1015.2922029222916,1.4017830369594455,0.30727876352094186,4.561926183564294,5.068646826200347e-6,8.10183179535287e-4,637,484,781,1747,1334,847
ENSMUSG00000034765,Dusp5,240672,dual specificity phosphatase 5,1019.1764313211156,1.0948692808483442,0.2403099643946556,4.556071087631911,5.211930381001385e-6,8.187223741604071e-4,744,632,832,821,1491,1506
ENSMUSG00000053841,Txlna,109658,taxilin alpha,719.7324231035441,1.4998708806191183,0.3306786527486011,4.535735428193477,5.740310409221885e-6,8.864401379393322e-4,553,330,390,1331,750,765
ENSMUSG00000037573,Tob1,22057,transducer of ErbB-2.1,1765.4819128336303,0.8273068317200544,0.1828963604902726,4.523364103596008,6.086440393852101e-6,9.242259738064415e-4,1244,1203,1897,1939,1909,2314
ENSMUSG00000071076,Jund,16478,jun D proto-oncogene,20026.71902984255,0.6033041103654835,0.13353177299288238,4.5180566156164295,6.240979872783111e-6,9.321568462447036e-4,16744,18199,18759,16748,23349,26179
ENSMUSG00000000078,Klf6,23849,Kruppel-like factor 6,4623.560195552761,1.033136339278695,0.22911073393315629,4.509331891800912,6.503210285800718e-6,9.556572405472635e-4,2738,2897,4740,3583,6027,7556
ENSMUSG00000038766,Gabpb2,213054,"GA repeat binding protein, beta 2",3120.7627701764227,-1.2194092951055935,0.27114260065206897,-4.497298809456885,6.882223346166839e-6,9.916820730095084e-4,4727,4505,5582,1058,1257,2929
ENSMUSG00000064354,COX2,17709,cytochrome c oxidase subunit II,14166.336018207163,0.9706473098866527,0.21595262813021956,4.494723302470539,6.966046830491552e-6,9.916820730095084e-4,9910,10753,11713,21005,17791,11350
ENSMUSG00000001025,S100a6,20200,S100 calcium binding protein A6 (calcyclin),1331.2222484289964,1.2582127932665668,0.28095986560455877,4.4782652161339565,7.52520737984436e-6,0.0010082671240847349,823,832,1006,2276,1603,1129
ENSMUSG00000023944,Hsp90ab1,15516,"heat shock protein 90 alpha (cytosolic), class B member 1",1121.5166939899611,1.2175338435690577,0.2716147359719045,4.482576540674133,7.37471784756401e-6,0.0010082671240847349,643,578,1091,1713,1314,1192
ENSMUSG00000026285,Pdcd1,18566,programmed cell death 1,1106.06264378354,1.869108654280982,0.4171653276453707,4.480498570748665,7.4468878605461035e-6,0.0010082671240847349,606,382,634,1619,2429,568
ENSMUSG00000039853,Trim14,74735,tripartite motif-containing 14,221.31500120903772,-2.235871214339072,0.49839418828719184,-4.486150253924483,7.252160750957053e-6,0.0010082671240847349,435,345,461,42,39,137
ENSMUSG00000076754,Trgv2,21636,T cell receptor gamma variable 2,142.13669409916693,2.9153189291894854,0.6571948274506302,4.436004069749758,9.164411582645016e-6,0.0012101007815866485,54,24,35,186,402,82
ENSMUSG00000019256,Ahr,11622,aryl-hydrocarbon receptor,140.19497950175747,1.8740811049094332,0.42565128269853125,4.4028555324165595,1.0683531083598484e-5,0.0013613927387645152,70,51,84,180,222,197
ENSMUSG00000022858,Tra2b,20462,transformer 2 beta,4472.515474455669,0.5306952357577087,0.12041254982792521,4.407308345484714,1.0466314049149792e-5,0.0013613927387645152,4486,3837,4041,4583,4502,5326
ENSMUSG00000038241,Cep250,16328,centrosomal protein 250,2756.0370512616682,0.8463901666547174,0.19230285031936514,4.401339685028501,1.0758454306996498e-5,0.0013613927387645152,2714,2046,1877,2641,3683,3336
ENSMUSG00000025507,Pidd1,57913,p53 induced death domain protein 1,409.16156051764557,1.3025424185859413,0.29622953230160926,4.397071448162515,1.0972123535499224e-5,0.0013694111990675813,216,302,277,583,506,484
ENSMUSG00000039197,Adk,11534,adenosine kinase,381.1630355756117,1.9023648211633895,0.4332199088775631,4.3912220610826935,1.127153517250199e-5,0.0013877696886035896,180,127,244,777,258,588
ENSMUSG00000085795,Zfp703,353310,zinc finger protein 703,460.7238233935868,1.1586366550684064,0.2641947215436666,4.385540514581798,1.1569812017486736e-5,0.0014055007638842888,251,323,393,558,542,634
ENSMUSG00000039844,Rapgef1,107746,Rap guanine nucleotide exchange factor (GEF) 1,1811.1965753791912,-1.0982614639796568,0.25087581992058805,-4.377709515119071,1.199330501005914e-5,0.0014191039213850495,2248,2481,3690,729,1416,1000
ENSMUSG00000070000,Fcho1,74015,FCH domain only 1,2824.7204301738534,0.579696967597547,0.13241502599062746,4.377879045529008,1.1983982285803833e-5,0.0014191039213850495,2821,2242,2606,2963,2893,3366
ENSMUSG00000053113,Socs3,12702,suppressor of cytokine signaling 3,3683.841504471547,0.7593084558232128,0.17443864716308474,4.352868290209373,1.3436788211547744e-5,0.0015695202230180962,2937,2929,3402,4722,3159,4708
ENSMUSG00000023905,Tnfrsf12a,27279,"tumor necrosis factor receptor superfamily, member 12a",104.87552100645344,2.245422422255225,0.5182894713744935,4.332371283368749,1.4751190563654088e-5,0.001679976215318155,38,45,40,188,107,175
ENSMUSG00000091575,2010016I18Rik,69206,RIKEN cDNA 2010016I18 gene,1224.2878197401717,-0.9505499060699363,0.21928419606138558,-4.334785283859868,1.4590246241758662e-5,0.001679976215318155,1652,1819,1988,589,650,1066
ENSMUSG00000030276,Ttll3,101100,"tubulin tyrosine ligase-like family, member 3",337.5431270001436,1.2033250342272102,0.2786593302702732,4.318265722737864,1.5726002943178976e-5,0.0017688841088309092,235,193,267,400,379,508
ENSMUSG00000039158,Akna,100182,AT-hook transcription factor,13247.252304956866,0.4656809615853058,0.10888596157651054,4.2767768667596995,1.8961869010844282e-5,0.002106848640948808,12882,11517,13281,12692,15292,13788
ENSMUSG00000029513,Prkab1,19079,"protein kinase, AMP-activated, beta 1 non-catalytic subunit",954.6732456533624,-0.7914520108140581,0.18521413676301093,-4.273172796884038,1.9271099641705608e-5,0.00211540950404313,1242,1292,1570,552,686,668
ENSMUSG00000036281,Snapc4,227644,"small nuclear RNA activating complex, polypeptide 4",514.3650774284844,-1.9158610820282653,0.4579143909324281,-4.183884848272826,2.8656930938972528e-5,0.00310825354505927,351,1025,1395,143,280,162
ENSMUSG00000021365,Nedd9,18003,"neural precursor cell expressed, developmentally down-regulated gene 9",515.0968829160819,1.6129191686449245,0.38599164149263093,4.178637553931895,2.9326060750559094e-5,0.003141922914906324,352,242,264,883,813,369
ENSMUSG00000026360,Rgs2,19735,regulator of G-protein signaling 2,1351.317099131538,1.2280479786753367,0.2944360019871891,4.170848572820823,3.0346747504308696e-5,0.003141922914906324,549,913,1294,1159,2046,1996
ENSMUSG00000029822,Osbpl3,71720,oxysterol binding protein-like 3,331.70966160836474,1.5551237951336068,0.37283191199803073,4.171112356771168,3.031163506888808e-5,0.003141922914906324,194,135,247,565,437,323
ENSMUSG00000036432,Siah2,20439,siah E3 ubiquitin protein ligase 2,459.2913912416816,1.2175501619072808,0.29164353528951575,4.1747887903587975,2.982626416317193e-5,0.003141922914906324,374,315,238,597,559,587
ENSMUSG00000030452,Nipa2,93790,non imprinted in Prader-Willi/Angelman syndrome 2 homolog (human),353.56930899708533,1.7739481374476906,0.42599502286439617,4.164246158369738,3.12382950974758e-5,0.00319788883857418,206,159,176,774,358,320
ENSMUSG00000072640,Lyrm9,66274,LYR motif containing 9,193.7419879232397,-1.8303633017561214,0.44012599072623765,-4.15872577471714,3.200278174582008e-5,0.0032397482720685194,367,347,304,70,46,119
ENSMUSG00000021495,Fam193b,212483,"family with sequence similarity 193, member B",3694.5836669866894,0.5618451720321478,0.13587793555795027,4.134925731135558,3.550694458053001e-5,0.0035549865062989997,3061,3154,3910,3885,3499,4641
ENSMUSG00000023034,Nr4a1,15370,"nuclear receptor subfamily 4, group A, member 1",3970.6958191528593,1.1083917134485888,0.269996591878427,4.105206312928835,4.039541945611008e-5,0.004000463768093684,2093,2357,4171,3322,4000,7770
ENSMUSG00000030172,Erc1,111173,ELKS/RAB6-interacting/CAST family member 1,435.7301798571302,1.2275817685592063,0.30276757553062356,4.054535121232102,5.0234103042302806e-5,0.004868967157642775,292,201,401,459,522,696
ENSMUSG00000044770,Scml4,268297,Scm polycomb group protein like 4,3007.060583035479,0.6052744526710672,0.14924033472214776,4.055702862084525,4.998376903599242e-5,0.004868967157642775,2490,2717,2853,3516,3132,3178
ENSMUSG00000021453,Gadd45g,23882,growth arrest and DNA-damage-inducible 45 gamma,812.5980958937371,0.947067532192827,0.23570454258859655,4.018028340870196,5.8687140008346566e-5,0.005569776381417141,659,630,581,1085,755,1067
ENSMUSG00000026463,Atp2b4,381290,"ATPase, Ca++ transporting, plasma membrane 4",942.0444035845449,1.2834441877155705,0.3192621020154546,4.020033006151925,5.81899883782629e-5,0.005569776381417141,647,491,730,1559,1288,710
ENSMUSG00000049339,Retreg2,227298,reticulophagy regulator family member 2,116.33655172361419,-2.859194477449338,0.7182887376427186,-3.9805642600392814,6.875187554514183e-5,0.006457714825688529,461,147,77,31,22,23
ENSMUSG00000079018,Ly6c1,17067,"lymphocyte antigen 6 complex, locus C1",3934.5645309194874,-0.6128284828308831,0.15417678190483824,-3.974842873612034,7.04257357654487e-5,0.006547437536316358,4987,5293,5814,3153,2596,2662
ENSMUSG00000029062,Cdk11b,12537,cyclin-dependent kinase 11B,1612.9435677780668,0.7976527344886096,0.20123903441987212,3.9637078203444327,7.379456355704657e-5,0.006791336046143953,1155,1371,1456,2117,1485,1950
ENSMUSG00000024042,Sik1,17691,salt inducible kinase 1,2305.9216276774914,2.1160884488326683,0.5367534135173604,3.942384706910163,8.067543455815893e-5,0.00735033884259386,809,841,1300,1536,2824,6188
ENSMUSG00000024014,Pim1,18712,proviral integration site 1,4410.517420145389,0.6937209053553423,0.17613258806091145,3.938628921499948,8.194855753090006e-5,0.007392408986772579,3289,3728,4406,3888,4373,6771
ENSMUSG00000028214,Gem,14579,GTP binding protein (gene overexpressed in skeletal muscle),384.3679854868021,1.5754178584248604,0.40045578632338513,3.934061917019332,8.35222526115377e-5,0.00739567950497782,297,115,249,435,704,419
ENSMUSG00000047248,C2cd3,277939,C2 calcium-dependent domain containing 3,194.0594430640036,2.878800871833535,0.7330470727119701,3.927170544700719,8.595103676217093e-5,0.007458094247048947,62,18,81,638,132,120
ENSMUSG00000071552,Tigit,100043314,T cell immunoreceptor with Ig and ITIM domains,391.441761313265,1.9839272197150633,0.5050646856024236,3.928065604802094,8.563185414528084e-5,0.007458094247048947,200,100,243,447,981,245
ENSMUSG00000062376,Borcs7,66439,BLOC-1 related complex subunit 7,139.57942296713722,-1.9436545442755042,0.4981077248440708,-3.9020766941206384,9.537092758303813e-5,0.008197401143481702,243,262,241,60,64,30
ENSMUSG00000029817,Tra2a,101214,transformer 2 alpha,1333.2267092578375,0.8289311408424472,0.2133830048169607,3.8847102258846804,1.0245200983170668e-4,0.008723740762398874,854,1006,1410,1221,1657,1796
ENSMUSG00000079555,Haus3,231123,"HAUS augmin-like complex, subunit 3",855.4880245789923,0.7183135437873566,0.18503207919580392,3.88210275163814,1.0355710003983624e-4,0.008736192022805074,687,654,856,938,915,1045
ENSMUSG00000071172,Srsf3,20383,serine and arginine-rich splicing factor 3,4054.4483357675144,0.5469667907026986,0.14120533561832,3.873556111088872,1.0725869718696729e-4,0.008965449450187696,3574,3376,4231,4291,3628,5235
ENSMUSG00000037868,Egr2,13654,early growth response 2,184.29882140820348,2.242641364198555,0.5800715888921366,3.8661458467250855,1.105688313406559e-4,0.009158114748588327,108,54,55,381,313,110
ENSMUSG00000024142,Mlst8,56716,"MTOR associated protein, LST8 homolog (S. cerevisiae)",336.5444887856202,1.6709131895548215,0.43308853804399233,3.85813302079376,1.1425646198884429e-4,0.009294559153396074,91,178,281,540,487,348
ENSMUSG00000056917,Sipa1,20469,signal-induced proliferation associated gene 1,8430.762123109564,0.413689313119792,0.10752028310772135,3.847546724791722,1.1930652825089923e-4,0.009619484768972945,8807,7121,8576,8356,8867,8965
ENSMUSG00000024740,Ddb1,13194,damage specific DNA binding protein 1,420.47692478033036,-0.9285279588348987,0.24233552587556256,-3.8315800189844667,1.2732294969616088e-4,0.010087299084188884,606,587,674,234,251,307
ENSMUSG00000039910,Cited2,17684,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",1398.8074446459073,0.786268055282699,0.20516100070516521,3.8324440443368517,1.2687646355633332e-4,0.010087299084188884,1193,1040,1247,1250,2019,1554
ENSMUSG00000020297,Nsg2,18197,neuron specific gene family member 2,2585.1658778409296,-0.5138565751626194,0.13423654358837114,-3.8279931934059017,1.2919232833995714e-4,0.010147166409528875,3476,3268,3537,1987,1837,1956
ENSMUSG00000036986,Pml,18854,promyelocytic leukemia,1974.2019103595806,-1.0505661735049014,0.27466126049588563,-3.8249521305194722,1.3079749847590862e-4,0.010185435971059859,3043,3350,2537,714,1676,1122
ENSMUSG00000031749,St3gal2,20444,"ST3 beta-galactoside alpha-2,3-sialyltransferase 2",107.80684565605986,2.421688924449542,0.6338133056789017,3.820823739027659,1.3300668724544417e-4,0.010269694300790186,62,15,39,185,191,111
ENSMUSG00000037720,Tmem33,67878,transmembrane protein 33,701.182676369576,0.8900165749744305,0.23425686981595278,3.799318994032852,1.4509423796534672e-4,0.011108853799178774,615,442,614,629,878,993
ENSMUSG00000024097,Srsf7,225027,serine and arginine-rich splicing factor 7,4388.076487528767,0.48555897131532216,0.12793780409328465,3.795273607801502,1.4748072042569964e-4,0.011197473698321244,3925,3663,4836,3905,4664,5448
ENSMUSG00000025316,Banp,53325,BTG3 associated nuclear protein,401.53868258112107,1.6781076327342952,0.443075886395663,3.787404560391173,1.5222912851038176e-4,0.011462475949240398,87,316,237,483,646,534
ENSMUSG00000004788,Eif2b2,217715,"eukaryotic translation initiation factor 2B, subunit 2 beta",264.60205414868665,1.2110071592424074,0.3212262185565442,3.7699511723674526,1.632794887857844e-4,0.012094629449815299,171,163,208,307,275,432
ENSMUSG00000037731,Themis2,230787,thymocyte selection associated family member 2,131.20055690580804,1.8108362892461292,0.48017151897345545,3.771228025180383,1.6244614567724282e-4,0.012094629449815299,80,40,79,172,219,162
ENSMUSG00000032637,Atxn2l,233871,ataxin 2-like,7161.411916855281,0.4946654036386045,0.1316146451827736,3.7584373908516135,1.7097780846882157e-4,0.012562732362576073,6677,6436,6993,7783,6261,8798
ENSMUSG00000021025,Nfkbia,18035,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha",5305.261647860702,0.6961564111645284,0.1864435694869431,3.733871932833174,1.8855840021374115e-4,0.013743644674779166,4392,4118,5237,3902,6399,7806
ENSMUSG00000031812,Map1lc3b,67443,microtubule-associated protein 1 light chain 3 beta,1460.2741949247352,0.7242501660862133,0.1941997610357068,3.729408121944332,1.9193007257448889e-4,0.013878372152588636,1223,1110,1405,1283,1511,2220
ENSMUSG00000001156,Mxd1,17119,MAX dimerization protein 1,101.7103867871998,2.0204995221635276,0.5422853862851242,3.725897052112675,1.9462183035884377e-4,0.013962200759050596,59,30,48,95,157,199
ENSMUSG00000036768,Kif15,209737,kinesin family member 15,350.1594260211549,-1.3125035794572681,0.35564926722766477,-3.6904436488465593,2.2386327817992043e-4,0.015934518183572305,758,400,537,124,194,236
ENSMUSG00000076752,Trgc2,107574,"T cell receptor gamma, constant 2",535.254124986566,3.24700516769385,0.884477791802154,3.6710985824505156,2.4151015812792358e-4,0.017057356982197767,169,36,147,703,1595,285
